No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
25,sistema para busca e oferta de plantonistas na área da saúde,REGINALDO CÉLIO PERÓN [BR],MIND NEST TECNOLOGIA DA INFORMACAO LTDA [BR],BR102019014633A2,2019-07-16,"G06Q10/08 
G06Q30/00 
G06Q40/00 
G06Q50/28 
G06Q90/00","G06Q10/08 (BR) 
G06Q30/00 (BR) 
G06Q40/00 (BR) 
G06Q50/28 (BR) 
G06Q90/00 (BR)",2021-01-26,2021-01-26,74504632
26,dispositivo misturador com filtro,CLAUDIO LOURENÇO LORENZETTI [BR],LORENZETTI S A IND BRASILEIRAS ELETROMETALURGICAS [BR],BR102019014726A2,2019-07-17,"B01D35/02 
B01D35/14",,2021-01-26,2021-01-26,74504645
27,disposição introduzida em sistema de posicionamento digital da tesoura para maquinas de montar e apontar bicos,DANIEL POPPI [BR],DANIEL POPPI [BR],BR202019013528U2,2019-06-28,A43D15/00,A43D15/00 (BR),2021-01-12,2021-01-12,74502105
28,disposição construtiva em kit para prática de atividade de equilibrio sobre fita,DANIEL DONIZETTI REBEIRO [BR],DANIEL DONIZETTI RIBEIRO [BR],BR202019014255U2,2019-07-10,"A63B26/00 
A63B7/08",,2021-01-19,2021-01-19,74504338
29,cerveja com uso de manipueira como adjunto,MARCEL LUIZ PABST [BR],MARCEL LUIZ PABST [BR],BR102019014776A2,2019-07-17,"C12C12/00 
C12C5/02","C12C12/00 (BR) 
C12C5/02 (BR)",2021-01-26,2021-01-26,74504636
30,aperfeiçoamento em sistema de fluxo de água para purificadores de água gelada,JEAN CARLOS BELMONTE SILVA [BR],COLOR VISAO DO BRASIL IND ACRILICA LTDA [BR],BR102019014493A2,2019-07-12,"B01D35/157 
G05D16/00 
G05D7/00","B01D35/1573 (BR) 
G05D7/00 (BR)",2021-01-26,2021-01-26,74504608
31,fertilizante nitrogenado de liberação lenta e processo de obtenção,"HENRIQUE CISLAGUI DA SILVA [BR] 
NILSON SCHWARTZ DA SILVA [BR]",T MATTER MINERAIS IND S A [BR],BR102019013258A2,2019-06-26,"C05C3/00 
C05C9/00","C05C3/00 (BR) 
C05C9/00 (BR) 
Y02P60/21 (EP)",2021-01-05,2021-01-05,74258802
32,compósito biodegradável utilizando bagaço de malte de cerveja e seus processos de fabricação,"JOSÉ PAULO CORDEIRO CAMPOS [BR] 
LUAN VIEIRA BRITO DE CAMPOS [BR] 
LUCAS CORRÊA BATISTA [BR]",INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO [BR],BR102019014296A2,2019-07-10,"C08B1/00 
C08J11/04 
C08J3/20 
C08K5/10 
C08L97/00","Y02P20/143 (EP) 
Y02W30/62 (EP)",2021-01-12,2021-01-12,74502096
33,clipadeira e saca rolamento aplicada no setor automotivo,EVARISTO SERGIO PALATINSKI [BR],DENSUL COMERCIO IMP E EXPORTACAO DE PECAS EIRELI ME [BR],BR202019013217U2,2019-06-25,B23P19/06,B23P19/06 (BR),2021-01-05,2021-01-05,74502036
34,disposição introduzida em dispositivo de engate de um implemento em uma unidade tratora,NILO ALFREDO TUZZI [BR],METALURGICA TUZZI LTDA [BR],BR102019013925A2,2019-07-04,"A01B59/00 
B60D1/04",,2021-01-12,2021-01-12,74502074
35,dispositivo para preparação automática de carnes em churrasqueiras,DJALMA DE FARIAS [BR],DJALMA DE FARIAS [BR],BR102019013713A2,2019-07-02,A47J37/07,"A47J37/0786 (BR) 
A47J2037/0795 (BR)",2021-01-05,2021-01-05,74501988
36,filme compósito polimérico com cristal complexado de aminoácido e processo de obtenção,"ADENILSON OLIVEIRA DOS SANTOS [BR] 
ANA ANGÉLICA MATHIAS MACÊDO [BR] 
LEONARDO SOBREIRA RODRIGUES [BR]",INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO MARANHAO [BR],BR102019013701A2,2019-07-02,A61L26/00,"A61L26/0023 (BR) 
A61L26/0047 (BR)",2021-01-12,2021-01-12,74502084
37,"disposição introduzida em equipamento descongelador em temperatura elevada em ar ou em água aquecida e seu processo de descongelamento e incubaçâo de sêmen, de embriões e de células vivas crio preservadas",RICARDO REUTER RIOS [BR],RICARDO REUTER RUAS [BR],BR102019014149A2,2019-07-08,A01N1/02,A01N1/0236 (BR),2021-01-19,2021-01-19,74504371
38,metodologia para criar e gerenciar marcas comerciais,TIAGO POLIDORO [BR],TIAGO POLIDORO [BR],BR102019014655A2,2019-07-16,G06Q10/06,"G06Q10/0637 (BR) 
G06Q10/06393 (BR)",2021-01-26,2021-01-26,74504633
39,"disposição construtiva introduzida em rede, cobertura e bolsa conjugadas para animais",ALEXANDRE LUIZ DO PRADO [BR],ALEXANDRE LUIZ DO PRADO [BR],BR202019013897U2,2019-07-04,A01K1/02,"A01K1/0263 (BR) 
A01K1/0272 (BR)",2021-01-12,2021-01-12,74502123
40,disposição construtiva aplicada a palco infantil interativo,DIRCEU PEREIRA DE OLIVEIRA [BR],DIRCEU PEREIRA DE OLIVEIRA [BR],BR202019014857U2,2019-07-18,G09B5/06,G09B5/06 (BR),2021-01-19,2021-01-19,74504330
41,disposição em capacete com suporte auxiliar de instrumentos,LUCIANO DIAS GIOLLO [BR],LUCIANO DIAS GIOLLO [BR],BR202019014616U2,2019-07-16,A61B90/60,,2021-01-26,2021-01-26,74504661
42,equipamento para coibição de bioincrustação por organismos sésseis em ambientes marinhos,"CARLOS ALBERTO CARLONI [BR] 
ROBERTO KESSEL [BR]","CARLOS ALBERTO CARLONI [BR] 
ROBERTO KESSEL [BR]",BR202019013905U2,2019-07-04,"B08B17/00 
B63B59/04 
C23F15/00","B63B59/04 (BR) 
C23F15/00 (BR) 
B08B17/00 (BR)",2021-01-12,2021-01-12,74502108
43,centralizador de fluxo na descarga de grãos e similares à granel,ROGER BRISKIEWICZ [BR],GRAIN SOLUTION ENGENHARIA LTDA [BR],BR202020018467U2,2020-09-10,B65G65/34,B65G65/34 (BR),2021-01-05,2021-01-05,74502057
44,disposição construtiva aplicada a carrinho ambulante,LUCIANA GARCIA DOS SANTOS MOLIANI [BR],JOAQUIM SARAIVA DOS SANTOS 14610221853 [BR],BR202019013335U2,2019-06-26,B60P9/00,,2021-01-05,2021-01-05,74502046
45,sistema de tecla e trava para porta de eletrodoméstico,JOHN MÜLLER [BR],MUELLER FOGOES LTDA [BR],BR102019013461A2,2019-06-27,F24C15/02,F24C15/022 (BR),2021-01-05,2021-01-05,74502002
46,projeto dispositivo eliminador de mal cheiro de ralos,ARISIO CEZARIO DA SILVA [BR],ARISIO CEZARIO DA SILVA [BR],BR202019013656U2,2019-07-01,E03F5/04,"E03F5/0407 (BR) 
E03F2005/0416 (BR)",2021-01-12,2021-01-12,74502141
47,disposição aplicada em coletor de fezes íntegras,"MAÍRA GOULART DUARTE [BR] 
POLLYANA ASSIS DE OLIVEIRA GUIMARÃES [BR]","EVOLUZI DESENVOLVIMENTO LTDA [BR] 
PROSPERE CARREIRA DESENVOLVIMENTO HUMANO LTDA [BR]",BR202019014076U2,2019-07-08,A61F5/44,A61F5/44 (BR),2021-01-12,2021-01-12,74502163
48,sistema eletromecânico para ortostatismo de cadeira de rodas,"CLAYSSON BRUNO SANTOS VIMIEIRO [BR] 
EDUARDO LAGRECA PACHECO [BR] 
GABRIEL BERNARDES DUARTE [BR] 
IVAN MEDEIROS MOURA [BR]",SOC MINEIRA DE CULTURA [BR],BR102019014163A2,2019-07-09,"A61G5/10 
A61G5/14",A61G5/104 (BR),2021-01-19,2021-01-19,74504383
49,processo e equipamento para produção de linguiça de massas de carnes com recheios destacados,RODRIGO OTAVIO LOPES PEIXOTO [BR],RODRIGO OTAVIO LOPES PEIXOTO [BR],BR132019014171E2,2019-07-09,"A22C11/00 
A22C11/02",,2021-01-12,2021-01-12,74502172
50,"material compósito de matriz epóxi reforçado com tecido de fibra natural de sisal e fibra de sisal alinhada em uma direção, processo para sua fabricação e seu uso em blindagem balística",SERGIO NEVES MONTEIRO [BR],"LUCIO FABIO CASSIANO NASCIMENTO [BR] 
MICHELLE SOUZA OLIVEIRA [BR] 
SERGIO NEVES MONTEIRO [BR]",BR102019014518A2,2019-07-13,"B32B27/38 
B32B33/00 
F41H1/02 
F41H5/00",,2021-01-26,2021-01-26,74504606
51,malas para mídias,DEJANIR DANGER DE MORAES [BR],DEJANIR DANGER DE MORAIS [BR],BR102019014007A2,2019-07-05,"A45C13/02 
A45C13/36 
A45C9/00 
B65D85/30","A45C9/00 (BR) 
A45C2013/025 (BR)",2021-01-19,2021-01-19,74504348
52,dispositivo para abertura e fechamento de garrafas,"CARLOS EDUARDO PODESTÁ [BR] 
ELIAS DE OLIVEIRA DOS SANTOS [BR] 
FÁBIO SANTOS DA SILVA [BR] 
JOSÉ CELSO BECCA JUNIOR [BR]",FABIO SANTOS DA SILVA [BR],BR102019014645A2,2019-07-16,B67B7/18,B67B7/18 (BR),2021-01-26,2021-01-21,74209614
53,disposição construtiva em contrapeso para máquinas de transporte vertical de cargas,JULIANO SCHEER MANTOVANI [BR],PCR METALURGICA LTDA [BR],BR202020017418U2,2020-08-26,B66C23/72,B66C23/72 (BR),2021-01-19,2021-01-19,74504434
54,disposição introduzida em peça de polimento abrasivo elástico,PEDRO MOIX BENAIGES [BR],EURO TECH IMP EXP DE MAQU E EQUIPAMENTOS INDUSTRIAIS LTDA [BR],BR202020018000U2,2020-09-03,B24B29/02,B24B29/02 (BR),2021-01-19,2021-01-19,74504429
55,"processo de obtenção de composição liofilizada de nanopartículas a base de quitosana contendo bromelina, composição liofilizada de nanopartículas a base de quitosana contendo bromelina e uso no tratamento de feridas","DANILO COSTA GERALDES [BR] 
JANAÍNA ARTEM ATAIDE [BR] 
LAURA DE OLIVEIRA NASCIMENTO [BR] 
PRISCILA GAVA MAZZOLA [BR]",UNIV ESTADUAL CAMPINAS UNICAMP [BR],BR102019014520A2,2019-07-13,"A61K38/48 
A61K47/18 
A61K47/26 
A61K47/36 
A61K9/14 
A61K9/51 
A61P17/02","A61K31/722 (EP) 
A61K38/48 (EP) 
A61K47/02 (EP) 
A61K47/18 (EP) 
A61K47/26 (EP) 
A61K47/36 (EP) 
A61K9/14 (EP) 
A61K9/19 (EP) 
A61K9/51 (EP) 
A61P17/02 (EP)",2021-01-26,2021-01-21,74209601
56,cabo anti-desconexão para instrumento musical elétrico,MIGUEL EDMUNDO ALVES SALOMÃO [BR],MIGUEL EDMUNDO ALVES SALOMAO [BR],BR202019013730U2,2019-07-02,H04R1/46,"H01B7/04 (EP) 
H01B7/06 (EP) 
H04R1/46 (BR)",2021-01-12,2021-01-07,74100429
57,sistema para a captura de imagem em espaço aéreo e processo de captura de imagem em espaço aéreo,"CEZAR AUGUSTO BASTIANELLO VAZ [BR] 
LUCIANE NEVES CANHA [BR]",UNIV FEDERAL SANTA MARIA [BR],BR102019014596A2,2019-07-15,"G01J1/42 
G01W1/10 
G06T7/20","G01J1/4204 (BR) 
G01W1/10 (BR) 
G06T7/20 (BR)",2021-01-26,2021-01-26,74504629
58,aperfeiçoamento em caixa embalagem com divisórias,VINCENZO MANZO [BR],ECCO BRASIL ECOLOGICAL COSMETICS EIRELI [BR],BR202019013737U2,2019-07-02,B65D5/48,,2021-01-12,2021-01-12,74502144
59,modelo de utilidade para capa de álbum musical com canções acessadas por meio de código qr,FLÁVIO GALVÃO [BR],FLAVIO BARBOSA GALVAO [BR],BR202019014488U2,2019-07-12,G06Q30/06,G06Q30/0601 (BR),2021-01-19,2021-01-19,74504446
60,produtos para fornecer um produto de protetor solar com tonalidade de cor personalizada e método para preparar um produto de protetor solar com tonalidade de cor personalizada,"ANGELES FONOLLA-MORENO [BR] 
RENATA SOUTO MAIOR AFONSO FERREIRA [BR] 
TASSIA HANASHIRO [BR]",OREAL [FR],BR112020019812A2,2018-06-29,"A61K8/19 
A61K8/29 
A61Q1/02 
A61Q17/04","A61K8/19 (EP) 
A61K8/29 (EP) 
A61Q1/02 (EP) 
A61Q17/04 (EP) 
A61K2800/622 (EP)",2021-01-05,2020-01-02,62916391
61,processo para simulação de controle de atitude de nanossatélites a partir de atuação magnética,"CHANTAL CAPPELLETTI [GB] 
IGOR SEIITI KINOSHITA ISHIOKA [BR] 
LUCAS MENESES BANDEIRA DA SILVA [BR] 
RENATO ALVES BORGES [BR] 
SIMONE BATTISTINI [IT]",FUNDACAO UNIV DE BRASILIA [BR],BR102019013124A2,2019-06-24,"B64G1/24 
B64G1/66 
G01C21/02","B64G1/66 (BR) 
G01C21/025 (BR)",2021-01-05,2021-01-05,74214940
62,dispositivo para controle e interação com passageiros,ANDRÉ FERREIRA SANTOS [BR],ANDRE FERREIRA SANTOS [BR],BR102019014696A2,2019-07-17,"G06K19/04 
G06K19/12 
G07B15/02 
G07C11/00 
G07C9/00","G06K19/04 (BR) 
G06K19/12 (BR) 
G07B15/02 (BR) 
G07C11/00 (BR)",2021-01-26,2021-01-26,74504640
63,dispositivo para detecção e prevenção de patologia em assentamento de revestimentos e pisos cerâmicos,"DIOGO FLORENCIO PESSANHA [BR] 
GUSTAVO DE CASTRO XAVIER [BR] 
JONAS ALEXANDRE [BR] 
JOSÉ AUGUSTO PEDRO LIMA [BR]",UENF UNIV ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO [BR],BR102019013307A2,2019-06-26,"G01N29/14 
G01N29/22",,2021-01-05,2021-01-05,74501968
64,"aplicação de mistura de silicato de potássio e permanganato de potássio com funções de fertilizante, desinfetante e fungicida",DIEGO ZUCAL [BR],DIEGO ZUCAL [BR],BR102019014685A2,2019-07-16,"C05D1/00 
C05D11/00 
C05D9/00 
C05G3/00",C05D1/00 (BR),2021-01-26,2021-01-26,74504641
65,"ingredientes bioativos, usos dos ingredientes bioativos e composição cosmética","ANA KAROLINY SANTOS DE SOUZA [BR] 
ANA LUISA ABRAHÃO DIAS [BR] 
CAMILA BRÁS COSTA [BR] 
CAROLINE ZIEGLER STÜKER [BR] 
CINTIA ROSA FERRARI [BR] 
DANIEL HENRIQUE DE OLIVEIRA [BR] 
DANIELA ZIMBARDI [BR] 
FELIPE SHIGERU TAKANO [BR] 
HELEN ANDRADE ARCURI [BR] 
JULIANA BELTRAME REIGADA [BR] 
JULIANA CARVALHÃES LAGO NOLD [BR] 
KELEN FABIOLA ARROTEIA [BR] 
MELISSA DIBBERNN GANZERLA [BR] 
NIAN IURY FERRÃO QUEIROZ [BR] 
RAFAEL CUNHA DE ASSIS CASTRO [BR] 
RENATA RABELO SCHEFER [BR] 
THAIS BEZERRA CLAUDIO DE AVILA [BR]",NATURA COSMETICOS SA [BR],BR102019013936A2,2019-07-04,"A61K8/97 
A61K8/9783 
A61Q17/00 
A61Q19/00 
A61Q19/08 
A61Q5/00","A61K36/18 (EP) 
A61K8/97 (BR) 
A61K8/9783 (EP,BR) 
A61Q17/00 (EP) 
A61Q19/08 (EP) 
A61Q7/02 (EP) 
A61Q17/00 (BR) 
A61Q19/00 (BR) 
A61Q19/08 (BR) 
A61Q5/00 (BR)",2021-01-12,2021-01-07,74100418
66,micropartículas de concentrado e hidrolisado proteico de pescado e respectivos processos de obtenção,"ANDREIA CYBELLE MARQUES FERREIRA [BR] 
IRINALDO BASÍLIO DINIZ JÚNIOR [BR] 
JULIETT DE FÁTIMA XAVIER DA SILVA [BR] 
LUIZ BEZERRA DE CARVALHO JUNIOR [BR] 
RANILSON DE SOUZA BEZERRA [BR] 
RAQUEL PEREIRA FREITAS DA SILVA [BR] 
THIAGO BARBOSA CAHÚ [BR] 
VALDEMIR DA COSTA SILVA [BR]","UNIV FEDERAL ALAGOAS [BR] 
UNIV PERNAMBUCO FEDERAL [BR]",BR102019013153A2,2019-06-25,"A23J1/04 
A23P10/30",,2021-01-05,2021-01-05,74214945
67,trufas de chocolate nutricionalmente fortificadas com hortaliças e respectivo processo de preparação,"ELISANGELA CARDOSO DE LIMA BORGES [BR] 
GUSTAVO HENRIQUE AMARAL MONTEIRO ROCHA [BR]",INST FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE GOIAS [BR],BR102019013169A2,2019-06-25,"A23G1/48 
A23G1/54 
A23P20/20",,2021-01-05,2021-01-05,74214942
68,dispositivo de secagem para condução de análises biológicas,"AMANDA WEEGE DA SILVEIRA MARTINS [BR] 
EDUARDO BIERHALS BLODORN [BR] 
EDUARDO NUNES DELLAGOSTIN [BR] 
GABRIEL DE OLIVEIRA URTIAGA [BR] 
JANAINA TOMAZONI SANTOS [BR] 
VINICIUS FARIAS CAMPOS [BR] 
WILLIAM BORGES DOMINGUES [BR]",UNIV PELOTAS FEDERAL [BR],BR102019013039A2,2019-06-24,B01L3/14,,2021-01-05,2021-01-05,74214926
69,cultivador de plantas auto irrigável,"AMAURI LOPES [BR] 
CAROLINE SCHUMANN [BR] 
CASSIANO PINZON [BR] 
CHARLES MAICON FITLER [BR] 
CÍCERO MADALOZZO SALVADORI [BR] 
DANIEL SEBBEN GIONGO [BR] 
DIEGO PIETA FROSI [BR] 
DOUGLAS DE BARROS [BR] 
FERNANDO MOGNON [BR] 
FRANCIELE RODRIGUES RIBAS [BR] 
GABRIEL DEBARBA BARONI [BR] 
GABRIELA TONIN BISOLO [BR] 
GIOVANNI CORBARI GASPARINI [BR] 
KELLY SUBTIL DA ROSA [BR] 
LUCAS EDUARDO NASCIMENTO DA SILVA [BR] 
LUIZ CARLOS FERRON JUNIOR [BR] 
LÉLIO FRITSCH FILHO [BR] 
PEDRO HENRIQUE BENEDETI [BR] 
RODRIGO OTAVIO DE OLIVEIRA [BR] 
WILLIAM AVILA FERREIRA OLIVEIRA [BR]",INST FEDERAL SUL RIO GRANDENSE [BR],BR102019013538A2,2019-06-28,A01G27/02,A01G27/02 (BR),2021-01-05,2021-01-05,74501979
70,processo de preparação de balão com aplicação de componentes coloridos em forma de pó e o dito balão colorido,CARLOS JOSE FERNANDES [BR],ART FESTA IND E COM DE ART PARA FESTAS LTDA [BR],BR102018076445A2,2018-12-18,A63H27/10,A63H27/10 (BR),2021-01-12,2021-01-12,74502087
71,disposição construtiva introduzida em conexão,ELISSEO SANTANA [BR],ELISSEO SANTANA [BR],BR202019013383U2,2019-06-27,"F16L17/04 
F16L21/02 
F16L27/02","F16L17/04 (BR) 
F16L21/02 (BR) 
F16L27/026 (BR)",2021-01-05,2021-01-05,74502043
72,reator anaeróbio tipo uasb com alta velocidade ascensional,ELIAS TAKESHI MATSUO [BR],ELIAS TAKESHI MATSUO [BR],BR202019013167U2,2019-06-25,C02F3/28,C02F3/28 (BR),2021-01-05,2021-01-05,74502018
73,sistema de ajuste e controle remoto com regulador de pressão para sistemas de irrigação,KLERYSTON LASIÊ SEGAT [BR],KLERYSTON LASIE SEGAT [BR],BR102019014170A2,2019-07-09,A01G25/16,"A01G25/00 (EP) 
A01G25/167 (BR) 
G05D16/2022 (US) 
G05D16/204 (US) 
G05D16/2095 (EP)",2021-01-19,2021-01-14,74101677
